YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1967,8,4,-,7,6,103,5,16,1,-,12,19,-,14,30,9,12,2,27,8,4,20,20,34,10,10,56,-,1,-,-,9,14,62,19,-,26,12,15,30,-,2,2,19,59,4,-,10,35,11,12,3
1967,9,6,-,5,8,156,3,4,2,1,14,7,1,6,25,28,8,-,40,12,3,20,20,44,8,7,42,1,-,-,-,26,2,72,11,-,17,11,35,49,2,2,1,17,59,8,2,7,18,-,12,1
1967,10,3,1,15,1,145,7,6,4,1,15,29,-,4,53,9,17,-,28,8,3,17,16,27,15,4,15,4,1,8,1,19,23,87,7,-,34,5,28,24,3,1,-,18,102,-,-,12,22,8,6,2
1967,11,5,-,6,3,134,1,11,-,-,15,20,-,7,52,10,16,7,11,17,3,25,9,36,6,7,52,3,4,1,1,22,8,76,10,-,43,3,13,36,9,3,-,11,49,6,-,17,12,13,19,2
1967,12,5,2,-,-,140,7,4,3,1,6,9,-,1,29,22,-,2,28,7,5,15,27,49,11,20,63,6,-,-,1,103,11,80,7,2,21,3,16,37,-,1,-,21,58,6,1,19,12,9,18,8
1967,13,5,-,4,3,147,16,14,-,-,10,38,-,5,28,35,2,6,15,10,7,18,14,41,13,15,24,8,3,-,3,55,-,59,5,2,20,3,14,39,7,3,1,18,56,8,-,20,30,6,11,1
1967,14,3,-,6,2,109,2,9,4,2,10,3,-,2,45,17,13,1,17,7,7,11,18,23,8,1,41,5,-,3,1,18,11,53,7,-,25,4,14,24,4,1,1,16,60,-,-,5,15,5,9,2
1967,15,12,1,7,3,127,3,3,1,-,17,23,-,-,38,14,2,4,23,11,2,19,22,43,13,12,38,5,3,1,1,42,14,94,9,1,36,2,9,38,5,1,-,14,67,1,-,30,13,8,10,-
1967,16,20,1,3,9,110,-,4,-,-,15,16,4,2,4,11,5,3,35,10,3,31,27,41,1,10,28,3,1,1,2,19,6,39,11,2,30,1,17,27,-,1,-,17,38,2,-,8,13,8,6,-
1967,17,9,-,11,5,124,3,15,3,1,7,9,-,4,39,27,9,3,18,9,2,10,12,21,5,7,35,5,1,-,-,21,14,81,4,2,26,5,18,45,3,-,-,15,80,2,-,23,15,7,5,-
1967,18,-,2,5,2,140,3,11,7,-,16,17,-,1,37,19,9,2,12,7,5,13,7,39,17,15,26,2,3,1,-,70,1,80,3,4,19,10,17,34,1,-,1,16,60,1,1,8,8,9,6,2
1967,19,8,-,11,2,121,16,11,2,1,14,6,-,1,30,9,9,2,27,8,1,17,17,51,13,6,59,3,2,-,3,22,6,63,8,1,28,4,18,28,3,1,-,15,68,2,2,32,15,1,3,1
1967,20,9,-,8,1,142,11,12,7,1,12,26,-,3,35,8,8,4,14,12,3,17,10,42,13,10,35,-,-,-,1,27,5,41,2,1,31,4,12,41,6,1,1,18,78,17,1,26,72,4,9,2
1967,21,6,-,11,2,119,7,6,1,2,23,11,-,-,46,16,2,2,9,15,1,7,18,33,7,9,25,2,-,-,2,31,7,71,10,-,20,3,13,22,3,10,-,12,39,-,-,30,37,8,14,-
1967,22,-,1,3,-,104,3,12,10,-,20,14,-,-,32,5,2,3,10,8,6,9,7,19,2,5,14,-,-,-,-,12,3,44,6,1,17,2,10,13,4,1,-,14,56,2,-,-,18,4,19,4
1967,23,6,-,2,3,146,6,4,10,-,13,25,-,-,34,11,2,5,14,7,2,10,7,33,9,11,23,1,-,-,-,21,6,39,1,5,19,4,8,37,5,-,1,12,64,2,-,8,1,4,11,5
1967,24,3,-,7,3,141,4,18,5,-,23,8,1,1,30,7,1,2,25,11,3,26,13,30,4,10,23,2,1,-,-,18,48,96,5,-,22,2,15,32,-,-,-,12,42,9,-,15,14,3,5,2
1967,25,2,5,3,4,137,6,5,3,1,14,7,-,2,36,7,5,5,15,11,3,14,13,25,13,8,29,1,-,-,1,12,10,75,9,1,26,9,6,21,3,2,-,18,66,4,-,14,8,5,9,5
1967,26,2,-,8,-,152,10,9,1,-,6,10,-,2,21,6,2,3,13,11,3,17,8,30,9,13,39,3,1,-,1,14,3,58,8,-,20,1,11,29,9,-,-,19,55,-,1,9,25,2,6,-
1967,27,4,1,6,3,106,2,12,2,-,9,24,-,-,19,6,4,4,5,-,-,12,9,18,11,5,14,6,4,-,-,12,6,66,6,-,16,5,18,13,-,4,-,7,43,4,-,32,13,1,5,-
1967,28,1,-,13,2,150,6,5,1,2,12,2,-,3,45,3,5,-,7,6,3,15,12,32,7,10,30,10,1,-,3,21,4,64,3,-,25,5,12,24,1,3,-,11,46,4,-,17,19,10,8,-
1967,29,3,-,-,3,121,16,18,2,3,15,-,4,-,34,8,10,9,21,15,3,21,13,23,8,12,28,3,-,-,-,13,10,54,8,-,20,5,8,11,2,1,-,15,42,2,-,6,2,2,4,-
1967,30,8,2,5,4,132,6,3,4,-,9,13,3,-,39,5,7,1,8,8,3,10,13,16,9,10,24,2,-,-,1,19,4,80,14,1,19,9,17,30,4,3,-,14,56,2,-,6,15,5,5,-
1967,31,5,-,9,3,154,-,8,3,2,19,14,-,-,43,6,7,9,13,13,1,14,17,33,3,6,11,2,1,-,-,41,4,40,5,-,20,6,16,28,3,2,-,9,44,3,-,9,18,4,5,2
1967,32,5,-,14,4,175,-,6,1,2,25,19,1,7,17,5,3,5,9,15,1,16,16,34,2,-,22,1,1,-,1,28,3,24,8,-,14,4,14,21,4,2,-,18,58,2,-,13,15,6,4,1
1967,33,3,-,3,1,142,12,7,1,2,7,39,-,1,46,9,5,-,19,16,1,20,-,38,2,7,26,2,1,-,-,13,5,60,4,3,27,7,10,22,3,4,-,16,48,-,1,15,24,3,8,-
1967,34,5,2,8,3,178,14,10,4,2,21,15,2,-,25,12,1,4,10,15,1,20,8,30,11,8,12,-,4,-,-,20,8,88,3,-,17,6,14,27,-,-,-,21,51,1,-,19,26,3,4,2
1967,35,6,-,6,1,146,7,17,-,-,20,19,-,3,12,9,4,5,2,13,2,7,9,30,3,1,16,-,-,-,-,24,2,72,9,1,51,13,12,13,2,1,-,18,47,2,-,7,15,4,6,1
1967,36,5,2,14,16,130,1,6,3,-,7,16,-,7,36,3,3,11,11,16,5,11,26,34,10,3,9,8,1,-,-,20,-,49,2,-,11,4,12,12,7,3,1,10,37,1,-,11,10,1,5,-
1967,37,6,2,14,34,180,3,18,5,3,11,16,1,3,34,7,8,11,55,14,1,21,18,37,13,9,26,4,1,-,-,17,3,58,11,2,18,1,20,50,7,2,-,13,63,2,-,7,13,5,12,-
